نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, الرياض , حي السلام ,غربية,500,0,7,0,5,15,0,1,1,1,1,1,0,0,1,0,1800000
فيلا,سكني, الرياض , حي المونسية ,شمالية,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350000
أرض,سكني, حريملاء, الرياض ,شرقية,375,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545625
أرض,سكني, الرياض , حي المهدية ,غربية,399,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334150
فيلا,سكني, الرياض , حي القادسية ,جنوبية شرقية,337,0,1,1,5,0,1,1,1,0,0,0,0,0,1,1,1950000
فيلا,سكني, الرياض , حي النسيم الغربي ,غربية,500,0,7,2,2,10,0,1,0,0,0,0,0,0,1,0,1250000
أرض,سكني, الدرعية, العيينة ,شمالية,750,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
أرض,تجاري وسكني, الرياض , حي طويق ,شرقية,870,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262000
أرض,سكني, الرياض , حي المهدية ,شمالية,300,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020000
فيلا,سكني, الرياض , حي المونسية ,شمالية,270,0,4,3,4,0,1,1,1,1,1,1,0,0,1,0,1950000
فيلا,سكني, الرياض , حي السعادة ,غربية,312,0,5,2,5,15,1,1,0,0,1,1,0,0,1,1,1550000
فيلا,سكني, الرياض , حي الملقا ,جنوبية,343,0,5,2,5,15,1,1,1,1,0,1,0,0,1,1,4600000
أرض,سكني, الرياض , حي القادسية ,شمالية,450,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260000
فيلا,سكني, الرياض , حي ظهرة لبن ,جنوبية غربية,240,0,2,2,4,26,0,1,1,0,1,0,0,0,0,0,950000
فيلا,سكني, الرياض , حي النهضة ,غربية,417,0,5,1,4,0,0,1,0,1,1,1,0,0,1,0,2500000
أرض,سكني, الرياض , حي البرية ,غربية,378,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378000
أرض,سكني, الرياض , حي ضاحية نمار ,شمالية,437,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568100
أرض,سكني, الرياض , حي حطين ,شمالية غربية,4000,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820000
أرض,سكني, الرياض , حي المهدية ,جنوبية,320,2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920000
أرض,تجاري وسكني, الرياض , حي القدس ,شرقية,750,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975000
فيلا,سكني, الرياض , حي الملقا ,شرقية,480,0,6,2,5,0,1,1,1,1,1,1,0,0,1,1,5500000
فيلا,سكني, الرياض , حي اليرموك ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000
فيلا,سكني, الرياض , حي غرناطة ,شمالية غربية,840,0,5,2,5,0,0,1,0,0,0,0,0,0,1,0,4000000
أرض,سكني, الرياض , حي النرجس ,شمالية غربية,425,4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806250
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,450,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350000
فيلا,سكني, الرياض , حي النرجس ,شمالية,330,0,5,2,5,15,0,1,1,1,0,0,0,0,1,0,3300000
أرض,سكني, الرياض , حي المونسية ,شرقية,2520,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11088000
فيلا,سكني, الرياض , حي المهدية ,شمالية,200,0,6,2,5,20,1,1,1,0,1,1,0,0,1,1,1500000
أرض,سكني, الرياض , حي طيبة ,شرقية,8664,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9530400
أرض,تجاري وسكني, الرياض , ضاحية نمار ,شمالية شرقية,375,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,750,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3675000
أرض,سكني, الرياض , حي الربيع ,غربية,750,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,438,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525600
فيلا,سكني, الرياض , حي المونسية ,غربية,300,0,4,2,5,0,1,1,1,0,1,1,0,0,1,1,2200000
